0 с,   73.00 м
4663 с,   247048.38 м
4664 с,   247061.07 м
4665 с,   247073.80 м
4666 с,   247086.55 м
4667 с,   247099.33 м
4668 с,   247112.14 м
4669 с,   247124.97 м
4670 с,   247137.84 м
4671 с,   247150.73 м
4672 с,   247163.66 м
4673 с,   247176.61 м
4674 с,   247189.58 м
4675 с,   247202.59 м
4676 с,   247215.62 м
4677 с,   247228.68 м
4678 с,   247241.77 м
4679 с,   247254.89 м
4680 с,   247268.03 м
4681 с,   247281.20 м
4682 с,   247294.39 м
4683 с,   247307.62 м
4684 с,   247320.87 м
4685 с,   247334.14 м
4686 с,   247347.44 м
4687 с,   247360.77 м
4688 с,   247374.13 м
4689 с,   247387.51 м
4690 с,   247400.91 м
4691 с,   247414.35 м
4692 с,   247427.80 м
4693 с,   247441.28 м
4694 с,   247454.79 м
4695 с,   247468.33 м
4696 с,   247481.88 м
4697 с,   247495.47 м
4698 с,   247509.07 м
4699 с,   247522.71 м
4700 с,   247536.36 м
4701 с,   247550.04 м
4702 с,   247563.75 м
4703 с,   247577.48 м
4704 с,   247591.23 м
4705 с,   247605.01 м
4706 с,   247618.81 м
4707 с,   247632.63 м
4708 с,   247646.48 м
4709 с,   247660.35 м
4710 с,   247674.24 м
4711 с,   247688.16 м
4712 с,   247702.10 м
4713 с,   247716.06 м
4714 с,   247730.05 м
4715 с,   247744.05 м
4716 с,   247758.08 м
4717 с,   247772.14 м
4718 с,   247786.21 м
4719 с,   247800.30 м
4720 с,   247814.42 м
4721 с,   247828.56 м
4722 с,   247842.72 м
4723 с,   247856.90 м
4724 с,   247871.10 м
4725 с,   247885.33 м
4726 с,   247899.57 м
4727 с,   247913.84 м
4728 с,   247928.12 м
4729 с,   247942.43 м
4730 с,   247956.75 м
4731 с,   247971.10 м
4732 с,   247985.47 м
4733 с,   247999.85 м
4734 с,   248014.26 м
4735 с,   248028.69 м
4736 с,   248043.13 м
4737 с,   248057.60 м
4738 с,   248072.08 м
4739 с,   248086.58 м
4740 с,   248101.10 м
4741 с,   248115.64 м
4742 с,   248130.20 м
4743 с,   248144.78 м
4744 с,   248159.38 м
4745 с,   248173.99 м
4746 с,   248188.62 м
4747 с,   248203.27 м
4748 с,   248217.94 м
4749 с,   248232.63 м
4750 с,   248247.33 м
4751 с,   248262.05 м
4752 с,   248276.79 м
4753 с,   248291.54 м
4754 с,   248306.31 м
4755 с,   248321.10 м
4756 с,   248335.90 м
4757 с,   248350.72 м
4758 с,   248365.56 м
4759 с,   248380.41 м
4760 с,   248395.28 м
4761 с,   248410.17 м
4762 с,   248425.07 м
4763 с,   248439.98 м
4764 с,   248454.92 м
4765 с,   248469.86 м
4766 с,   248484.82 м
4767 с,   248499.80 м
4768 с,   248514.79 м
4769 с,   248529.80 м
4770 с,   248544.82 м
4771 с,   248559.85 м
4772 с,   248574.90 м
4773 с,   248589.97 м
4774 с,   248605.04 м
4775 с,   248620.14 м
4776 с,   248635.24 м
4777 с,   248650.36 м
4778 с,   248665.49 м
4779 с,   248680.63 м
4780 с,   248695.79 м
4781 с,   248710.96 м
4782 с,   248726.15 м
4783 с,   248741.34 м
4784 с,   248756.55 м
4785 с,   248771.77 м
4786 с,   248787.00 м
4787 с,   248802.25 м
4788 с,   248817.51 м
4789 с,   248832.77 м
4790 с,   248848.05 м
4791 с,   248863.34 м
4792 с,   248878.65 м
4793 с,   248893.96 м
4794 с,   248909.28 м
4795 с,   248924.62 м
4796 с,   248939.96 м
4797 с,   248955.32 м
4798 с,   248970.69 м
4799 с,   248986.06 м
4800 с,   249001.45 м
4801 с,   249016.85 м
4802 с,   249032.25 м
4803 с,   249047.67 м
4804 с,   249063.09 м
4805 с,   249078.53 м
4806 с,   249093.97 м
4807 с,   249109.42 м
4808 с,   249124.88 м
4809 с,   249140.35 м
4810 с,   249155.83 м
4811 с,   249171.32 м
4812 с,   249186.81 м
4813 с,   249202.32 м
4814 с,   249217.83 м
4815 с,   249233.35 м
4816 с,   249248.87 м
4817 с,   249264.41 м
4818 с,   249279.95 м
4819 с,   249295.49 м
4820 с,   249311.05 м
4821 с,   249326.61 м
4822 с,   249342.18 м
4823 с,   249357.75 м
4824 с,   249373.33 м
4825 с,   249388.92 м
4826 с,   249404.51 м
4827 с,   249420.11 м
4828 с,   249435.72 м
4829 с,   249451.33 м
4830 с,   249466.94 м
4831 с,   249482.57 м
4832 с,   249498.19 м
4833 с,   249513.82 м
4834 с,   249529.46 м
4835 с,   249545.10 м
4836 с,   249560.74 м
4837 с,   249576.39 м
4838 с,   249592.05 м
4839 с,   249607.70 м
4840 с,   249623.37 м
4841 с,   249639.03 м
4842 с,   249654.70 м
4843 с,   249670.37 м
4844 с,   249686.05 м
4845 с,   249701.73 м
4846 с,   249717.41 м
4847 с,   249733.09 м
4848 с,   249748.78 м
4849 с,   249764.47 м
4850 с,   249780.16 м
4851 с,   249795.85 м
4852 с,   249811.55 м
4853 с,   249827.25 м
4854 с,   249842.95 м
4855 с,   249858.65 м
4856 с,   249874.35 м
4857 с,   249890.05 м
4858 с,   249905.76 м
4859 с,   249921.46 м
4860 с,   249937.17 м
4861 с,   249952.88 м
4862 с,   249968.58 м
4863 с,   249984.29 м
4864 с,   250000.00 м
4865 с,   250015.71 м
4866 с,   250031.42 м
4867 с,   250047.12 м
4868 с,   250062.83 м
4869 с,   250078.54 м
4870 с,   250094.24 м
4871 с,   250109.95 м
4872 с,   250125.65 м
4873 с,   250141.35 м
4874 с,   250157.05 м
4875 с,   250172.75 м
4876 с,   250188.45 м
4877 с,   250204.15 м
4878 с,   250219.84 м
4879 с,   250235.53 м
4880 с,   250251.22 м
4881 с,   250266.91 м
4882 с,   250282.59 м
4883 с,   250298.27 м
4884 с,   250313.95 м
4885 с,   250329.63 м
4886 с,   250345.30 м
4887 с,   250360.97 м
4888 с,   250376.63 м
4889 с,   250392.30 м
4890 с,   250407.95 м
4891 с,   250423.61 м
4892 с,   250439.26 м
4893 с,   250454.90 м
4894 с,   250470.54 м
4895 с,   250486.18 м
4896 с,   250501.81 м
4897 с,   250517.43 м
4898 с,   250533.06 м
4899 с,   250548.67 м
4900 с,   250564.28 м
4901 с,   250579.89 м
4902 с,   250595.49 м
4903 с,   250611.08 м
4904 с,   250626.67 м
4905 с,   250642.25 м
4906 с,   250657.82 м
4907 с,   250673.39 м
4908 с,   250688.95 м
4909 с,   250704.51 м
4910 с,   250720.05 м
4911 с,   250735.59 м
4912 с,   250751.13 м
4913 с,   250766.65 м
4914 с,   250782.17 м
4915 с,   250797.68 м
4916 с,   250813.19 м
4917 с,   250828.68 м
4918 с,   250844.17 м
4919 с,   250859.65 м
4920 с,   250875.12 м
4921 с,   250890.58 м
4922 с,   250906.03 м
4923 с,   250921.47 м
4924 с,   250936.91 м
4925 с,   250952.33 м
4926 с,   250967.75 м
4927 с,   250983.15 м
4928 с,   250998.55 м
4929 с,   251013.94 м
4930 с,   251029.31 м
4931 с,   251044.68 м
4932 с,   251060.04 м
4933 с,   251075.38 м
4934 с,   251090.72 м
4935 с,   251106.04 м
4936 с,   251121.35 м
4937 с,   251136.66 м
4938 с,   251151.95 м
4939 с,   251167.23 м
4940 с,   251182.49 м
4941 с,   251197.75 м
4942 с,   251213.00 м
4943 с,   251228.23 м
4944 с,   251243.45 м
4945 с,   251258.66 м
4946 с,   251273.85 м
4947 с,   251289.04 м
4948 с,   251304.21 м
4949 с,   251319.37 м
4950 с,   251334.51 м
4951 с,   251349.64 м
4952 с,   251364.76 м
4953 с,   251379.86 м
4954 с,   251394.96 м
4955 с,   251410.03 м
4956 с,   251425.10 м
4957 с,   251440.15 м
4958 с,   251455.18 м
4959 с,   251470.20 м
4960 с,   251485.21 м
4961 с,   251500.20 м
4962 с,   251515.18 м
4963 с,   251530.14 м
4964 с,   251545.08 м
4965 с,   251560.02 м
4966 с,   251574.93 м
4967 с,   251589.83 м
4968 с,   251604.72 м
4969 с,   251619.59 м
4970 с,   251634.44 м
4971 с,   251649.28 м
4972 с,   251664.10 м
4973 с,   251678.90 м
4974 с,   251693.69 м
4975 с,   251708.46 м
4976 с,   251723.21 м
4977 с,   251737.95 м
4978 с,   251752.67 м
4979 с,   251767.37 м
4980 с,   251782.06 м
4981 с,   251796.73 м
4982 с,   251811.38 м
4983 с,   251826.01 м
4984 с,   251840.62 м
4985 с,   251855.22 м
4986 с,   251869.80 м
4987 с,   251884.36 м
4988 с,   251898.90 м
4989 с,   251913.42 м
4990 с,   251927.92 м
4991 с,   251942.40 м
4992 с,   251956.87 м
4993 с,   251971.31 м
4994 с,   251985.74 м
4995 с,   252000.15 м
4996 с,   252014.53 м
4997 с,   252028.90 м
4998 с,   252043.25 м
4999 с,   252057.57 м
5000 с,   252071.88 м
5001 с,   252086.16 м
5002 с,   252100.43 м
5003 с,   252114.67 м
5004 с,   252128.90 м
5005 с,   252143.10 м
5006 с,   252157.28 м
5007 с,   252171.44 м
5008 с,   252185.58 м
5009 с,   252199.70 м
5010 с,   252213.79 м
5011 с,   252227.86 м
5012 с,   252241.92 м
5013 с,   252255.95 м
5014 с,   252269.95 м
5015 с,   252283.94 м
5016 с,   252297.90 м
5017 с,   252311.84 м
5018 с,   252325.76 м
5019 с,   252339.65 м
5020 с,   252353.52 м
5021 с,   252367.37 м
5022 с,   252381.19 м
5023 с,   252394.99 м
5024 с,   252408.77 м
5025 с,   252422.52 м
5026 с,   252436.25 м
5027 с,   252449.96 м
5028 с,   252463.64 м
5029 с,   252477.29 м
5030 с,   252490.93 м
5031 с,   252504.53 м
5032 с,   252518.12 м
5033 с,   252531.67 м
5034 с,   252545.21 м
5035 с,   252558.72 м
5036 с,   252572.20 м
5037 с,   252585.65 м
5038 с,   252599.09 м
5039 с,   252612.49 м
5040 с,   252625.87 м
5041 с,   252639.23 м
5042 с,   252652.56 м
5043 с,   252665.86 м
5044 с,   252679.13 м
5045 с,   252692.38 м
5046 с,   252705.61 м
5047 с,   252718.80 м
5048 с,   252731.97 м
5049 с,   252745.11 м
5050 с,   252758.23 м
5051 с,   252771.32 м
5052 с,   252784.38 м
5053 с,   252797.41 м
5054 с,   252810.42 м
5055 с,   252823.39 м
5056 с,   252836.34 м
5057 с,   252849.27 м
5058 с,   252862.16 м
5059 с,   252875.03 м
5060 с,   252887.86 м
5061 с,   252900.67 м
5062 с,   252913.45 м
5063 с,   252926.20 м
5064 с,   252938.93 м
5065 с,   252951.62 м
5066 с,   252964.28 м
5067 с,   252976.92 м
5068 с,   252989.52 м
5069 с,   253002.10 м
5070 с,   253014.65 м
5071 с,   253027.16 м
5072 с,   253039.65 м
5073 с,   253052.11 м
5074 с,   253064.54 м
5075 с,   253076.93 м
5076 с,   253089.30 м
5077 с,   253101.63 м
5078 с,   253113.94 м
5079 с,   253126.21 м
5080 с,   253138.46 м
5081 с,   253150.67 м
5082 с,   253162.85 м
5083 с,   253175.00 м
5084 с,   253187.12 м
5085 с,   253199.21 м
5086 с,   253211.26 м
5087 с,   253223.29 м
5088 с,   253235.28 м
5089 с,   253247.24 м
5090 с,   253259.17 м
5091 с,   253271.06 м
5092 с,   253282.93 м
5093 с,   253294.76 м
5094 с,   253306.56 м
5095 с,   253318.33 м
5096 с,   253330.06 м
5097 с,   253341.76 м
5098 с,   253353.43 м
5099 с,   253365.06 м
5100 с,   253376.66 м
5101 с,   253388.23 м
5102 с,   253399.77 м
5103 с,   253411.27 м
5104 с,   253422.74 м
5105 с,   253434.17 м
5106 с,   253445.57 м
5107 с,   253456.93 м
5108 с,   253468.27 м
5109 с,   253479.56 м
5110 с,   253490.83 м
5111 с,   253502.06 м
5112 с,   253513.25 м
5113 с,   253524.41 м
5114 с,   253535.53 м
5115 с,   253546.62 м
5116 с,   253557.68 м
5117 с,   253568.70 м
5118 с,   253579.68 м
5119 с,   253590.63 м
5120 с,   253601.55 м
5121 с,   253612.42 м
5122 с,   253623.27 м
5123 с,   253634.07 м
5124 с,   253644.84 м
5125 с,   253655.58 м
5126 с,   253666.28 м
5127 с,   253676.94 м
5128 с,   253687.57 м
5129 с,   253698.16 м
5130 с,   253708.71 м
5131 с,   253719.23 м
5132 с,   253729.71 м
5133 с,   253740.15 м
5134 с,   253750.56 м
5135 с,   253760.92 м
5136 с,   253771.26 м
5137 с,   253781.55 м
5138 с,   253791.81 м
5139 с,   253802.03 м
5140 с,   253812.21 м
5141 с,   253822.36 м
5142 с,   253832.47 м
5143 с,   253842.53 м
5144 с,   253852.57 м
5145 с,   253862.56 м
5146 с,   253872.52 м
5147 с,   253882.43 м
5148 с,   253892.31 м
5149 с,   253902.15 м
5150 с,   253911.95 м
5151 с,   253921.72 м
5152 с,   253931.44 м
5153 с,   253941.13 м
5154 с,   253950.78 м
5155 с,   253960.38 м
5156 с,   253969.95 м
5157 с,   253979.48 м
5158 с,   253988.97 м
5159 с,   253998.42 м
5160 с,   254007.83 м
5161 с,   254017.21 м
5162 с,   254026.54 м
5163 с,   254035.83 м
5164 с,   254045.08 м
5165 с,   254054.30 м
5166 с,   254063.47 м
5167 с,   254072.60 м
5168 с,   254081.70 м
5169 с,   254090.75 м
5170 с,   254099.76 м
5171 с,   254108.73 м
5172 с,   254117.66 м
5173 с,   254126.55 м
5174 с,   254135.40 м
5175 с,   254144.21 м
5176 с,   254152.98 м
5177 с,   254161.71 м
5178 с,   254170.39 м
5179 с,   254179.04 м
5180 с,   254187.64 м
5181 с,   254196.20 м
5182 с,   254204.72 м
5183 с,   254213.20 м
5184 с,   254221.64 м
5185 с,   254230.04 м
5186 с,   254238.39 м
5187 с,   254246.70 м
5188 с,   254254.97 м
5189 с,   254263.20 м
5190 с,   254271.39 м
5191 с,   254279.53 м
5192 с,   254287.63 м
5193 с,   254295.69 м
5194 с,   254303.71 м
5195 с,   254311.68 м
5196 с,   254319.62 м
5197 с,   254327.51 м
5198 с,   254335.35 м
5199 с,   254343.16 м
5200 с,   254350.92 м
5201 с,   254358.64 м
5202 с,   254366.31 м
5203 с,   254373.94 м
5204 с,   254381.53 м
5205 с,   254389.08 м
5206 с,   254396.58 м
5207 с,   254404.04 м
5208 с,   254411.46 м
5209 с,   254418.83 м
5210 с,   254426.16 м
5211 с,   254433.44 м
5212 с,   254440.68 м
5213 с,   254447.88 м
5214 с,   254455.03 м
5215 с,   254462.14 м
5216 с,   254469.21 м
5217 с,   254476.23 м
5218 с,   254483.21 м
5219 с,   254490.14 м
5220 с,   254497.03 м
5221 с,   254503.87 м
5222 с,   254510.67 м
5223 с,   254517.42 м
5224 с,   254524.14 м
5225 с,   254530.80 м
5226 с,   254537.42 м
5227 с,   254544.00 м
5228 с,   254550.53 м
5229 с,   254557.02 м
5230 с,   254563.46 м
5231 с,   254569.85 м
5232 с,   254576.21 м
5233 с,   254582.51 м
5234 с,   254588.77 м
5235 с,   254594.99 м
5236 с,   254601.16 м
5237 с,   254607.28 м
5238 с,   254613.36 м
5239 с,   254619.40 м
5240 с,   254625.39 м
5241 с,   254631.33 м
5242 с,   254637.23 м
5243 с,   254643.08 м
5244 с,   254648.88 м
5245 с,   254654.64 м
5246 с,   254660.36 м
5247 с,   254666.02 м
5248 с,   254671.64 м
5249 с,   254677.22 м
5250 с,   254682.75 м
5251 с,   254688.23 м
5252 с,   254693.67 м
5253 с,   254699.06 м
5254 с,   254704.40 м
5255 с,   254709.70 м
5256 с,   254714.95 м
5257 с,   254720.16 м
5258 с,   254725.32 м
5259 с,   254730.43 м
5260 с,   254735.49 м
5261 с,   254740.51 м
5262 с,   254745.48 м
5263 с,   254750.41 м
5264 с,   254755.28 м
5265 с,   254760.11 м
5266 с,   254764.90 м
5267 с,   254769.63 м
5268 с,   254774.32 м
5269 с,   254778.97 м
5270 с,   254783.56 м
5271 с,   254788.11 м
5272 с,   254792.61 м
5273 с,   254797.06 м
5274 с,   254801.47 м
5275 с,   254805.83 м
5276 с,   254810.14 м
5277 с,   254814.40 м
5278 с,   254818.62 м
5279 с,   254822.79 м
5280 с,   254826.91 м
5281 с,   254830.98 м
5282 с,   254835.01 м
5283 с,   254838.99 м
5284 с,   254842.92 м
5285 с,   254846.80 м
5286 с,   254850.63 м
5287 с,   254854.42 м
5288 с,   254858.16 м
5289 с,   254861.85 м
5290 с,   254865.49 м
5291 с,   254869.09 м
5292 с,   254872.63 м
5293 с,   254876.13 м
5294 с,   254879.58 м
5295 с,   254882.99 м
5296 с,   254886.34 м
5297 с,   254889.65 м
5298 с,   254892.90 м
5299 с,   254896.11 м
5300 с,   254899.28 м
5301 с,   254902.39 м
5302 с,   254905.45 м
5303 с,   254908.47 м
5304 с,   254911.44 м
5305 с,   254914.36 м
5306 с,   254917.23 м
5307 с,   254920.05 м
5308 с,   254922.82 м
5309 с,   254925.55 м
5310 с,   254928.22 м
5311 с,   254930.85 м
5312 с,   254933.43 м
5313 с,   254935.96 м
5314 с,   254938.44 м
5315 с,   254940.87 м
5316 с,   254943.26 м
5317 с,   254945.59 м
5318 с,   254947.88 м
5319 с,   254950.12 м
5320 с,   254952.31 м
5321 с,   254954.45 м
5322 с,   254956.54 м
5323 с,   254958.58 м
5324 с,   254960.57 м
5325 с,   254962.52 м
5326 с,   254964.41 м
5327 с,   254966.26 м
5328 с,   254968.06 м
5329 с,   254969.80 м
5330 с,   254971.50 м
5331 с,   254973.15 м
5332 с,   254974.76 м
5333 с,   254976.31 м
5334 с,   254977.81 м
5335 с,   254979.26 м
5336 с,   254980.67 м
5337 с,   254982.02 м
5338 с,   254983.33 м
5339 с,   254984.59 м
5340 с,   254985.79 м
5341 с,   254986.95 м
5342 с,   254988.06 м
5343 с,   254989.12 м
5344 с,   254990.13 м
5345 с,   254991.10 м
5346 с,   254992.01 м
5347 с,   254992.87 м
5348 с,   254993.68 м
5349 с,   254994.45 м
5350 с,   254995.16 м
5351 с,   254995.83 м
5352 с,   254996.45 м
5353 с,   254997.01 м
5354 с,   254997.53 м
5355 с,   254998.00 м
5356 с,   254998.42 м
5357 с,   254998.79 м
5358 с,   254999.11 м
5359 с,   254999.38 м
5360 с,   254999.61 м
5361 с,   254999.78 м
5362 с,   254999.90 м
5363 с,   254999.98 м
5364 с,   255000.00 м
5365 с,   254999.98 м
5366 с,   254999.90 м
5367 с,   254999.78 м
5368 с,   254999.61 м
5369 с,   254999.38 м
5370 с,   254999.11 м
5371 с,   254998.79 м
5372 с,   254998.42 м
5373 с,   254998.00 м
5374 с,   254997.53 м
5375 с,   254997.01 м
5376 с,   254996.45 м
5377 с,   254995.83 м
5378 с,   254995.16 м
5379 с,   254994.45 м
5380 с,   254993.68 м
5381 с,   254992.87 м
5382 с,   254992.01 м
5383 с,   254991.10 м
5384 с,   254990.13 м
5385 с,   254989.12 м
5386 с,   254988.06 м
